gene,lumpos,lumneg,baspos,basneg,epipos,epineg,mespos,mesneg,pemtpos,pemtneg
PRLR,22,4,4,12,18,9,7,16,6,16
NOTCH2,8,11,5,11,12,17,28,4,16,5
IFITM1,11,2,5,11,14,9,10,7,9,11
ERBB2,15,6,6,15,29,2,5,19,5,12
PLXNB2,16,0,1,16,21,2,4,11,12,16
PILRB,3,3,3,2,5,1,2,4,2,4
TSPAN14,12,5,11,9,30,3,3,18,10,9
CD82,16,7,10,11,26,6,9,18,11,14
TSPAN17,7,7,6,10,10,6,8,10,7,10
TRAF2,6,6,6,7,10,4,3,18,5,14
CAV1,6,16,17,1,9,15,26,7,29,8
TRADD,12,5,5,13,16,4,2,11,6,5
SLC16A1,9,14,20,2,12,14,13,12,17,10
PTK7,14,13,13,8,13,9,17,5,14,8
PTN,4,3,7,2,5,15,24,3,16,5
HLA-A,9,6,3,14,8,12,15,4,15,2
PKM,5,5,9,7,18,7,5,5,13,7
FN1,8,14,14,6,5,22,43,3,40,2
CD40LG,6,3,3,8,5,9,4,9,1,11
TIMP3,10,9,13,7,19,15,26,8,28,4
HSPG2,10,4,6,13,8,10,22,8,19,7
AGRN,13,3,3,9,21,3,4,13,7,7
FAM3C,7,13,15,3,8,16,16,5,14,1
TNFSF12,3,8,2,8,7,10,14,5,8,11
ADAM10,8,5,10,2,14,14,13,6,8,5
HLA-B,9,4,2,13,9,8,10,3,7,2
HBEGF,8,11,13,4,14,14,15,11,22,4
COL1A2,11,8,5,7,4,17,32,3,18,7
COL5A2,12,9,9,5,6,24,42,2,28,4
COL4A2,9,16,12,10,6,27,39,1,31,5
ICAM1,8,8,10,4,15,16,14,8,18,8
TIMP2,6,11,6,15,16,21,34,5,23,8
TGM2,7,9,8,8,12,12,17,5,22,4
CALM1,7,3,4,9,11,6,5,12,8,12
COL3A1,13,8,5,6,4,21,35,1,17,6
COL6A2,5,12,3,7,2,19,28,5,20,5
LGALS1,6,14,6,10,8,18,34,5,32,4
SPON1,4,6,1,5,3,9,19,3,22,3
TIMP1,9,17,8,10,13,23,35,4,38,4
LAMC1,8,11,7,8,9,23,33,6,26,11
CD99,6,8,3,10,6,13,21,2,16,3
ADAM17,11,15,18,8,13,6,12,12,9,8
LMAN1,3,13,9,6,6,15,12,4,14,7
SLIT2,11,12,3,11,9,22,29,12,23,13
LAMA5,18,6,5,11,32,5,2,19,7,14
CCL5,11,9,6,6,12,13,13,7,6,2
COL1A1,13,8,8,7,8,22,38,5,28,5
LAMA4,4,7,7,10,5,14,25,5,17,11
MDK,13,3,5,9,17,12,9,12,9,12
TFPI,7,14,12,7,10,22,35,4,27,5
LGALS3BP,17,3,11,11,21,7,10,9,12,12
LAMB2,17,5,3,25,15,9,13,8,14,9
ADAM15,16,1,8,6,20,8,8,16,8,10
TGFB1,7,11,5,8,9,22,20,6,21,2
LAMB1,9,13,12,4,9,18,38,1,33,5
LTB,10,7,8,4,11,12,8,13,5,12
IL16,9,8,1,9,4,18,12,7,5,6
C3,8,5,12,6,23,7,21,11,22,15
TNC,9,7,14,8,13,16,34,3,44,3
THBS1,11,8,9,5,10,18,21,3,37,3
MIF,9,2,6,10,11,4,5,11,7,11
COL4A1,8,16,10,7,8,27,42,1,29,5
VEGFA,5,10,13,10,13,8,13,7,22,3
LGALS9,13,8,4,7,13,5,4,10,1,12
APOE,12,5,4,8,9,12,10,7,7,13
CXCL8,3,11,12,4,4,13,15,3,18,2
VCAN,6,13,9,4,6,29,39,3,27,3
COL6A3,7,11,4,12,4,26,35,2,29,6
FBLN1,7,10,6,7,14,18,28,3,21,7
C1QB,8,6,3,3,5,11,7,6,3,6
VIM,6,20,11,9,5,38,49,1,36,5
CALM3,5,7,4,5,12,10,9,7,5,8
TNF,12,7,9,4,18,8,3,12,8,11
CXCL12,18,4,4,12,6,14,22,10,18,10
LUM,5,3,3,12,1,17,28,1,14,8
INHBA,11,5,11,2,16,12,22,9,38,3
NID1,4,5,8,6,5,10,28,4,17,10
PTDSS1,2,21,17,4,3,19,8,9,6,12
APP,17,2,14,7,18,7,16,5,20,4
COL14A1,11,2,7,4,5,11,20,4,17,7
SPP1,7,7,5,5,6,11,15,4,15,8
IL1B,9,11,13,4,17,8,9,9,17,3
ANGPTL4,10,9,8,4,13,14,18,6,28,2
GRN,11,7,1,12,17,6,11,9,10,6
LPL,6,5,8,9,5,11,19,5,6,9
SPTAN1,9,6,2,13,8,9,7,3,12,7
VWF,8,2,2,7,8,6,11,8,9,6
ADAM12,5,14,4,2,7,19,31,2,31,4
COL6A1,7,10,5,7,7,21,32,4,27,6
THBS2,9,2,5,9,7,11,25,4,18,6
JAG1,8,10,22,2,18,12,25,6,40,6
F8,8,12,9,9,8,16,16,7,5,9
COL9A2,10,4,6,9,12,9,4,10,6,9
ETV5,8,14,10,7,7,25,31,5,19,9
JAG2,14,5,16,8,29,4,6,21,10,15
AREG,15,7,13,1,16,10,8,13,15,8
IGF2,5,3,2,5,3,6,5,1,3,3
GPC3,9,1,2,8,6,6,8,4,3,8
MXRA5,5,3,2,8,8,5,15,5,17,5
LAMC2,10,6,23,6,26,5,16,12,42,6
VEGFC,5,8,10,9,7,21,35,1,34,1
SEMA4A,24,2,10,7,22,5,2,25,7,22
MFNG,10,6,7,4,13,13,11,8,6,9
SELE,6,3,5,4,1,7,10,2,5,3
S100A4,8,13,4,11,12,26,21,8,15,13
MAML2,7,16,10,13,5,23,28,3,18,7
LRPAP1,15,1,2,11,9,7,10,5,6,10
PIP,17,2,2,10,13,3,3,7,2,8
MMP9,13,8,10,7,17,12,13,12,25,3
SEMA4C,12,3,3,14,7,13,13,9,13,13
HSP90B1,9,9,14,7,5,14,12,6,12,5
ACTR2,5,12,15,6,8,15,10,5,10,4
EREG,11,7,8,5,12,9,8,13,13,11
THBS4,8,5,2,10,1,13,16,6,6,4
HSP90AA1,11,10,17,6,12,10,10,10,9,11
DLL4,9,3,7,8,5,9,8,7,10,7
LAMA2,9,9,5,9,8,13,27,5,20,6
IGF1,9,2,4,4,3,8,20,6,12,6
ARPC5,4,13,13,9,10,16,18,5,14,9
SERTAD1,9,3,5,7,13,8,7,5,12,1
HSPA8,6,4,8,4,10,6,6,5,7,4
PSAP,9,5,5,16,11,10,17,2,19,5
LYPD3,21,4,11,5,40,3,2,26,10,11
CDH1,22,3,12,6,49,2,2,31,14,17
TXLNA,8,7,6,6,4,17,16,5,10,8
LAMB3,14,10,21,6,24,6,19,7,42,1
TGFB3,19,0,5,13,13,7,14,13,13,15
DKK1,4,11,9,4,7,12,11,6,11,7
SIRPG,7,5,5,4,5,12,4,5,2,7
CALM2,4,6,11,5,8,7,7,5,6,5
HRAS,5,6,10,5,10,7,4,16,13,9
BSG,5,9,5,13,17,6,15,8,17,6
SIRPA,15,10,14,3,16,16,24,10,21,9
PTGS2,12,7,15,6,14,16,24,3,29,4
FASLG,4,3,3,7,3,7,2,6,1,4
HMGB1,6,8,18,5,7,13,10,11,8,8
FBN1,11,13,3,11,3,32,47,0,31,2
SERPINE1,4,11,14,6,7,22,39,1,44,2
GSTP1,10,15,16,6,20,12,20,13,14,11
ANGPT1,5,13,8,11,5,28,22,2,6,10
PLAU,12,8,12,7,16,13,31,8,33,1
TNFSF14,6,6,3,10,11,10,3,12,6,11
S100A8,17,12,23,5,29,3,9,20,15,12
FADD,6,8,10,6,7,8,6,6,7,12
POSTN,8,5,7,10,7,19,38,3,22,4
ADAM9,12,13,16,6,10,15,27,3,20,5
JAM3,8,12,5,8,4,20,30,4,21,6
S100A9,17,7,23,9,30,3,6,23,11,14
CLEC11A,16,4,4,15,12,12,20,13,19,10
TNFSF13B,6,12,11,6,6,14,15,6,15,6
CD14,8,6,5,8,17,7,11,13,11,17
RSPO3,6,2,5,2,5,8,16,3,7,4
GNAI2,5,12,3,12,7,18,22,4,17,2
PSEN1,8,7,6,12,20,8,6,6,9,7
SPON2,2,2,3,8,7,6,7,8,5,11
COPA,8,12,6,7,9,11,15,3,13,5
BST1,10,8,3,7,11,11,19,7,16,7
