original_id	ensembl_gene_id	gene_biotype	external_gene_name
ENSG00000006740	ENSG00000006740	protein_coding	ARHGAP44
ENSG00000006744	ENSG00000006744	protein_coding	ELAC2
ENSG00000006757	ENSG00000006757	protein_coding	PNPLA4
ENSG00000006831	ENSG00000006831	protein_coding	ADIPOR2
ENSG00000006837	ENSG00000006837	protein_coding	CDKL3
ENSG00000007047	ENSG00000007047	protein_coding	MARK4
ENSG00000007080	ENSG00000007080	protein_coding	CCDC124
ENSG00000007168	ENSG00000007168	protein_coding	PAFAH1B1
ENSG00000007202	ENSG00000007202	protein_coding	KIAA0100
ENSG00000007255	ENSG00000007255	protein_coding	TRAPPC6A
ENSG00000007341	ENSG00000007341	protein_coding	ST7L
ENSG00000007376	ENSG00000007376	protein_coding	RPUSD1
ENSG00000007384	ENSG00000007384	protein_coding	RHBDF1
ENSG00000007392	ENSG00000007392	protein_coding	LUC7L
ENSG00000007520	ENSG00000007520	protein_coding	TSR3
ENSG00000007541	ENSG00000007541	protein_coding	PIGQ
ENSG00000007545	ENSG00000007545	protein_coding	CRAMP1
ENSG00000007866	ENSG00000007866	protein_coding	TEAD3
ENSG00000007923	ENSG00000007923	protein_coding	DNAJC11
ENSG00000007944	ENSG00000007944	protein_coding	MYLIP
ENSG00000007968	ENSG00000007968	protein_coding	E2F2
ENSG00000008018	ENSG00000008018	protein_coding	PSMB1
ENSG00000008083	ENSG00000008083	protein_coding	JARID2
ENSG00000008086	ENSG00000008086	protein_coding	CDKL5
ENSG00000008130	ENSG00000008130	protein_coding	NADK
ENSG00000008256	ENSG00000008256	protein_coding	CYTH3
ENSG00000008282	ENSG00000008282	protein_coding	SYPL1
ENSG00000008283	ENSG00000008283	protein_coding	CYB561
ENSG00000008294	ENSG00000008294	protein_coding	SPAG9
ENSG00000008300	ENSG00000008300	protein_coding	CELSR3
ENSG00000008311	ENSG00000008311	protein_coding	AASS
ENSG00000008324	ENSG00000008324	protein_coding	SS18L2
ENSG00000008382	ENSG00000008382	protein_coding	MPND
ENSG00000008394	ENSG00000008394	protein_coding	MGST1
ENSG00000008405	ENSG00000008405	protein_coding	CRY1
ENSG00000008441	ENSG00000008441	protein_coding	NFIX
ENSG00000008710	ENSG00000008710	protein_coding	PKD1
ENSG00000008735	ENSG00000008735	protein_coding	MAPK8IP2
ENSG00000008838	ENSG00000008838	protein_coding	MED24
ENSG00000008869	ENSG00000008869	protein_coding	HEATR5B
ENSG00000008952	ENSG00000008952	protein_coding	SEC62
ENSG00000008988	ENSG00000008988	protein_coding	RPS20
ENSG00000009307	ENSG00000009307	protein_coding	CSDE1
ENSG00000009335	ENSG00000009335	protein_coding	UBE3C
ENSG00000009413	ENSG00000009413	protein_coding	REV3L
ENSG00000009780	ENSG00000009780	protein_coding	FAM76A
ENSG00000009830	ENSG00000009830	protein_coding	POMT2
ENSG00000009844	ENSG00000009844	protein_coding	VTA1
ENSG00000009954	ENSG00000009954	protein_coding	BAZ1B
ENSG00000010017	ENSG00000010017	protein_coding	RANBP9
ENSG00000010072	ENSG00000010072	protein_coding	SPRTN
ENSG00000010165	ENSG00000010165	protein_coding	METTL13
ENSG00000010219	ENSG00000010219	protein_coding	DYRK4
ENSG00000010244	ENSG00000010244	protein_coding	ZNF207
ENSG00000010256	ENSG00000010256	protein_coding	UQCRC1
ENSG00000010270	ENSG00000010270	protein_coding	STARD3NL
ENSG00000010278	ENSG00000010278	protein_coding	CD9
ENSG00000010292	ENSG00000010292	protein_coding	NCAPD2
ENSG00000010310	ENSG00000010310	protein_coding	GIPR
ENSG00000010318	ENSG00000010318	protein_coding	PHF7
ENSG00000010322	ENSG00000010322	protein_coding	NISCH
ENSG00000010361	ENSG00000010361	protein_coding	FUZ
ENSG00000010404	ENSG00000010404	protein_coding	IDS
ENSG00000010539	ENSG00000010539	protein_coding	ZNF200
ENSG00000010626	ENSG00000010626	protein_coding	LRRC23
ENSG00000010803	ENSG00000010803	protein_coding	SCMH1
ENSG00000010818	ENSG00000010818	protein_coding	HIVEP2
ENSG00000011007	ENSG00000011007	protein_coding	ELOA
ENSG00000011009	ENSG00000011009	protein_coding	LYPLA2
ENSG00000011021	ENSG00000011021	protein_coding	CLCN6
ENSG00000011105	ENSG00000011105	protein_coding	TSPAN9
ENSG00000011114	ENSG00000011114	protein_coding	BTBD7
ENSG00000011132	ENSG00000011132	protein_coding	APBA3
ENSG00000011143	ENSG00000011143	protein_coding	MKS1
ENSG00000011198	ENSG00000011198	protein_coding	ABHD5
ENSG00000011243	ENSG00000011243	protein_coding	AKAP8L
ENSG00000011258	ENSG00000011258	protein_coding	MBTD1
ENSG00000011260	ENSG00000011260	protein_coding	UTP18
ENSG00000011275	ENSG00000011275	protein_coding	RNF216
ENSG00000011295	ENSG00000011295	protein_coding	TTC19
ENSG00000011304	ENSG00000011304	protein_coding	PTBP1
ENSG00000011332	ENSG00000011332	protein_coding	DPF1
ENSG00000011376	ENSG00000011376	protein_coding	LARS2
ENSG00000011405	ENSG00000011405	protein_coding	PIK3C2A
ENSG00000011422	ENSG00000011422	protein_coding	PLAUR
ENSG00000011426	ENSG00000011426	protein_coding	ANLN
ENSG00000011451	ENSG00000011451	protein_coding	WIZ
ENSG00000011454	ENSG00000011454	protein_coding	RABGAP1
ENSG00000011478	ENSG00000011478	protein_coding	QPCTL
ENSG00000011485	ENSG00000011485	protein_coding	PPP5C
ENSG00000011523	ENSG00000011523	protein_coding	CEP68
ENSG00000011566	ENSG00000011566	protein_coding	MAP4K3
ENSG00000012048	ENSG00000012048	protein_coding	BRCA1
ENSG00000012061	ENSG00000012061	protein_coding	ERCC1
ENSG00000012171	ENSG00000012171	protein_coding	SEMA3B
ENSG00000012174	ENSG00000012174	protein_coding	MBTPS2
ENSG00000012211	ENSG00000012211	protein_coding	PRICKLE3
ENSG00000012232	ENSG00000012232	protein_coding	EXTL3
ENSG00000012660	ENSG00000012660	protein_coding	ELOVL5
ENSG00000012822	ENSG00000012822	protein_coding	CALCOCO1
ENSG00000012963	ENSG00000012963	protein_coding	UBR7
ENSG00000012983	ENSG00000012983	protein_coding	MAP4K5
ENSG00000013275	ENSG00000013275	protein_coding	PSMC4
ENSG00000013288	ENSG00000013288	protein_coding	MAN2B2
ENSG00000013306	ENSG00000013306	protein_coding	SLC25A39
ENSG00000013364	ENSG00000013364	protein_coding	MVP
ENSG00000013374	ENSG00000013374	protein_coding	NUB1
ENSG00000013375	ENSG00000013375	protein_coding	PGM3
ENSG00000013392	ENSG00000013392	protein_coding	RWDD2A
ENSG00000013441	ENSG00000013441	protein_coding	CLK1
ENSG00000013503	ENSG00000013503	protein_coding	POLR3B
ENSG00000013523	ENSG00000013523	protein_coding	ANGEL1
ENSG00000013561	ENSG00000013561	protein_coding	RNF14
ENSG00000013563	ENSG00000013563	protein_coding	DNASE1L1
ENSG00000013573	ENSG00000013573	protein_coding	DDX11
ENSG00000013583	ENSG00000013583	protein_coding	HEBP1
ENSG00000013588	ENSG00000013588	protein_coding	GPRC5A
ENSG00000013810	ENSG00000013810	protein_coding	TACC3
ENSG00000014123	ENSG00000014123	protein_coding	UFL1
ENSG00000014138	ENSG00000014138	protein_coding	POLA2
ENSG00000014164	ENSG00000014164	protein_coding	ZC3H3
ENSG00000014216	ENSG00000014216	protein_coding	CAPN1
ENSG00000014641	ENSG00000014641	protein_coding	MDH1
ENSG00000014824	ENSG00000014824	protein_coding	SLC30A9
ENSG00000014914	ENSG00000014914	protein_coding	MTMR11
ENSG00000014919	ENSG00000014919	protein_coding	COX15
ENSG00000015133	ENSG00000015133	protein_coding	CCDC88C
ENSG00000015153	ENSG00000015153	protein_coding	YAF2
ENSG00000015171	ENSG00000015171	protein_coding	ZMYND11
ENSG00000015475	ENSG00000015475	protein_coding	BID
ENSG00000015479	ENSG00000015479	protein_coding	MATR3
ENSG00000015532	ENSG00000015532	protein_coding	XYLT2
ENSG00000015676	ENSG00000015676	protein_coding	NUDCD3
ENSG00000016391	ENSG00000016391	protein_coding	CHDH
ENSG00000016864	ENSG00000016864	protein_coding	GLT8D1
ENSG00000017260	ENSG00000017260	protein_coding	ATP2C1
ENSG00000017797	ENSG00000017797	protein_coding	RALBP1
ENSG00000018189	ENSG00000018189	protein_coding	RUFY3
ENSG00000018280	ENSG00000018280	protein_coding	SLC11A1
ENSG00000018408	ENSG00000018408	protein_coding	WWTR1
ENSG00000018610	ENSG00000018610	protein_coding	STEEP1
ENSG00000018699	ENSG00000018699	protein_coding	TTC27
ENSG00000019144	ENSG00000019144	protein_coding	PHLDB1
ENSG00000019995	ENSG00000019995	protein_coding	ZRANB1
ENSG00000020129	ENSG00000020129	protein_coding	NCDN
ENSG00000020256	ENSG00000020256	protein_coding	ZFP64
ENSG00000020426	ENSG00000020426	protein_coding	MNAT1
ENSG00000020577	ENSG00000020577	protein_coding	SAMD4A
ENSG00000020922	ENSG00000020922	protein_coding	MRE11
ENSG00000021355	ENSG00000021355	protein_coding	SERPINB1
ENSG00000021574	ENSG00000021574	protein_coding	SPAST
ENSG00000021762	ENSG00000021762	protein_coding	OSBPL5
ENSG00000021776	ENSG00000021776	protein_coding	AQR
ENSG00000022277	ENSG00000022277	protein_coding	RTF2
ENSG00000022567	ENSG00000022567	protein_coding	SLC45A4
ENSG00000022840	ENSG00000022840	protein_coding	RNF10
ENSG00000022976	ENSG00000022976	protein_coding	ZNF839
ENSG00000023041	ENSG00000023041	protein_coding	ZDHHC6
ENSG00000023191	ENSG00000023191	protein_coding	RNH1
ENSG00000023228	ENSG00000023228	protein_coding	NDUFS1
ENSG00000023287	ENSG00000023287	protein_coding	RB1CC1
ENSG00000023318	ENSG00000023318	protein_coding	ERP44
ENSG00000023330	ENSG00000023330	protein_coding	ALAS1
ENSG00000023445	ENSG00000023445	protein_coding	BIRC3
ENSG00000023516	ENSG00000023516	protein_coding	AKAP11
ENSG00000023572	ENSG00000023572	protein_coding	GLRX2
ENSG00000023608	ENSG00000023608	protein_coding	SNAPC1
ENSG00000023697	ENSG00000023697	protein_coding	DERA
ENSG00000023734	ENSG00000023734	protein_coding	STRAP
ENSG00000023839	ENSG00000023839	protein_coding	ABCC2
ENSG00000023892	ENSG00000023892	protein_coding	DEF6
ENSG00000023902	ENSG00000023902	protein_coding	PLEKHO1
ENSG00000023909	ENSG00000023909	protein_coding	GCLM
ENSG00000024048	ENSG00000024048	protein_coding	UBR2
ENSG00000024422	ENSG00000024422	protein_coding	EHD2
ENSG00000024526	ENSG00000024526	protein_coding	DEPDC1
ENSG00000024862	ENSG00000024862	protein_coding	CCDC28A
ENSG00000025156	ENSG00000025156	protein_coding	HSF2
ENSG00000025293	ENSG00000025293	protein_coding	PHF20
ENSG00000025423	ENSG00000025423	protein_coding	HSD17B6
ENSG00000025434	ENSG00000025434	protein_coding	NR1H3
ENSG00000025708	ENSG00000025708	protein_coding	TYMP
ENSG00000025770	ENSG00000025770	protein_coding	NCAPH2
ENSG00000025772	ENSG00000025772	protein_coding	TOMM34
ENSG00000025796	ENSG00000025796	protein_coding	SEC63
ENSG00000025800	ENSG00000025800	protein_coding	KPNA6
ENSG00000026025	ENSG00000026025	protein_coding	VIM
ENSG00000026297	ENSG00000026297	protein_coding	RNASET2
ENSG00000026508	ENSG00000026508	protein_coding	CD44
ENSG00000026950	ENSG00000026950	protein_coding	BTN3A1
ENSG00000027001	ENSG00000027001	protein_coding	MIPEP
ENSG00000027075	ENSG00000027075	protein_coding	PRKCH
ENSG00000027697	ENSG00000027697	protein_coding	IFNGR1
ENSG00000027847	ENSG00000027847	protein_coding	B4GALT7
ENSG00000028116	ENSG00000028116	protein_coding	VRK2
ENSG00000028203	ENSG00000028203	protein_coding	VEZT
ENSG00000028277	ENSG00000028277	protein_coding	POU2F2
ENSG00000028310	ENSG00000028310	protein_coding	BRD9
ENSG00000028528	ENSG00000028528	protein_coding	SNX1
ENSG00000028839	ENSG00000028839	protein_coding	TBPL1
ENSG00000029363	ENSG00000029363	protein_coding	BCLAF1
ENSG00000029364	ENSG00000029364	protein_coding	SLC39A9
ENSG00000029639	ENSG00000029639	protein_coding	TFB1M
ENSG00000029725	ENSG00000029725	protein_coding	RABEP1
ENSG00000029993	ENSG00000029993	protein_coding	HMGB3
ENSG00000030066	ENSG00000030066	protein_coding	NUP160
ENSG00000030110	ENSG00000030110	protein_coding	BAK1
ENSG00000030419	ENSG00000030419	protein_coding	IKZF2
ENSG00000030582	ENSG00000030582	protein_coding	GRN
ENSG00000031003	ENSG00000031003	protein_coding	FAM13B
ENSG00000031691	ENSG00000031691	protein_coding	CENPQ
ENSG00000031698	ENSG00000031698	protein_coding	SARS1
ENSG00000031823	ENSG00000031823	protein_coding	RANBP3
ENSG00000032219	ENSG00000032219	protein_coding	ARID4A
ENSG00000032389	ENSG00000032389	protein_coding	EIPR1
ENSG00000032444	ENSG00000032444	protein_coding	PNPLA6
ENSG00000032742	ENSG00000032742	protein_coding	IFT88
ENSG00000033011	ENSG00000033011	protein_coding	ALG1
ENSG00000033030	ENSG00000033030	protein_coding	ZCCHC8
ENSG00000033050	ENSG00000033050	protein_coding	ABCF2
ENSG00000033100	ENSG00000033100	protein_coding	CHPF2
ENSG00000033122	ENSG00000033122	protein_coding	LRRC7
ENSG00000033170	ENSG00000033170	protein_coding	FUT8
ENSG00000033178	ENSG00000033178	protein_coding	UBA6
ENSG00000033327	ENSG00000033327	protein_coding	GAB2
ENSG00000033627	ENSG00000033627	protein_coding	ATP6V0A1
ENSG00000033800	ENSG00000033800	protein_coding	PIAS1
ENSG00000033867	ENSG00000033867	protein_coding	SLC4A7
ENSG00000034152	ENSG00000034152	protein_coding	MAP2K3
ENSG00000034510	ENSG00000034510	protein_coding	TMSB10
ENSG00000034533	ENSG00000034533	protein_coding	ASTE1
ENSG00000034677	ENSG00000034677	protein_coding	RNF19A
ENSG00000034693	ENSG00000034693	protein_coding	PEX3
ENSG00000034713	ENSG00000034713	protein_coding	GABARAPL2
ENSG00000035115	ENSG00000035115	protein_coding	SH3YL1
ENSG00000035141	ENSG00000035141	protein_coding	FAM136A
ENSG00000035403	ENSG00000035403	protein_coding	VCL
ENSG00000035499	ENSG00000035499	protein_coding	DEPDC1B
ENSG00000035664	ENSG00000035664	protein_coding	DAPK2
ENSG00000035681	ENSG00000035681	protein_coding	NSMAF
ENSG00000035687	ENSG00000035687	protein_coding	ADSS2
ENSG00000035862	ENSG00000035862	protein_coding	TIMP2
ENSG00000035928	ENSG00000035928	protein_coding	RFC1
ENSG00000036054	ENSG00000036054	protein_coding	TBC1D23
ENSG00000036257	ENSG00000036257	protein_coding	CUL3
ENSG00000036549	ENSG00000036549	protein_coding	ZZZ3
ENSG00000036672	ENSG00000036672	protein_coding	USP2
ENSG00000037042	ENSG00000037042	protein_coding	TUBG2
ENSG00000037241	ENSG00000037241	protein_coding	RPL26L1
ENSG00000037474	ENSG00000037474	protein_coding	NSUN2
ENSG00000037637	ENSG00000037637	protein_coding	FBXO42
ENSG00000037749	ENSG00000037749	protein_coding	MFAP3
ENSG00000037757	ENSG00000037757	protein_coding	MRI1
ENSG00000037897	ENSG00000037897	protein_coding	METTL1
ENSG00000037965	ENSG00000037965	protein_coding	HOXC8
ENSG00000038002	ENSG00000038002	protein_coding	AGA
ENSG00000038210	ENSG00000038210	protein_coding	PI4K2B
ENSG00000038219	ENSG00000038219	protein_coding	BOD1L1
ENSG00000038274	ENSG00000038274	protein_coding	MAT2B
ENSG00000038358	ENSG00000038358	protein_coding	EDC4
ENSG00000038382	ENSG00000038382	protein_coding	TRIO
ENSG00000038532	ENSG00000038532	protein_coding	CLEC16A
ENSG00000039068	ENSG00000039068	protein_coding	CDH1
ENSG00000039123	ENSG00000039123	protein_coding	MTREX
ENSG00000039139	ENSG00000039139	protein_coding	DNAH5
ENSG00000039319	ENSG00000039319	protein_coding	ZFYVE16
ENSG00000039523	ENSG00000039523	protein_coding	RIPOR1
ENSG00000039560	ENSG00000039560	protein_coding	RAI14
ENSG00000039650	ENSG00000039650	protein_coding	PNKP
ENSG00000040199	ENSG00000040199	protein_coding	PHLPP2
ENSG00000040275	ENSG00000040275	protein_coding	SPDL1
ENSG00000040341	ENSG00000040341	protein_coding	STAU2
ENSG00000040487	ENSG00000040487	protein_coding	SLC66A1
ENSG00000040531	ENSG00000040531	protein_coding	CTNS
ENSG00000040608	ENSG00000040608	protein_coding	RTN4R
ENSG00000040633	ENSG00000040633	protein_coding	PHF23
ENSG00000040933	ENSG00000040933	protein_coding	INPP4A
ENSG00000041353	ENSG00000041353	protein_coding	RAB27B
ENSG00000041357	ENSG00000041357	protein_coding	PSMA4
ENSG00000041802	ENSG00000041802	protein_coding	LSG1
ENSG00000041880	ENSG00000041880	protein_coding	PARP3
ENSG00000041988	ENSG00000041988	protein_coding	THAP3
ENSG00000042062	ENSG00000042062	protein_coding	RIPOR3
ENSG00000042088	ENSG00000042088	protein_coding	TDP1
ENSG00000042286	ENSG00000042286	protein_coding	AIFM2
ENSG00000042317	ENSG00000042317	protein_coding	SPATA7
ENSG00000042429	ENSG00000042429	protein_coding	MED17
ENSG00000042445	ENSG00000042445	protein_coding	RETSAT
ENSG00000042493	ENSG00000042493	protein_coding	CAPG
ENSG00000042753	ENSG00000042753	protein_coding	AP2S1
ENSG00000043093	ENSG00000043093	protein_coding	DCUN1D1
ENSG00000043143	ENSG00000043143	protein_coding	JADE2
ENSG00000043514	ENSG00000043514	protein_coding	TRIT1
ENSG00000044090	ENSG00000044090	protein_coding	CUL7
ENSG00000044115	ENSG00000044115	protein_coding	CTNNA1
ENSG00000044446	ENSG00000044446	protein_coding	PHKA2
ENSG00000044459	ENSG00000044459	protein_coding	CNTLN
ENSG00000044574	ENSG00000044574	protein_coding	HSPA5
ENSG00000046604	ENSG00000046604	protein_coding	DSG2
ENSG00000046647	ENSG00000046647	protein_coding	GEMIN8
ENSG00000046651	ENSG00000046651	protein_coding	OFD1
ENSG00000046653	ENSG00000046653	protein_coding	GPM6B
ENSG00000047056	ENSG00000047056	protein_coding	WDR37
ENSG00000047188	ENSG00000047188	protein_coding	YTHDC2
ENSG00000047230	ENSG00000047230	protein_coding	CTPS2
ENSG00000047249	ENSG00000047249	protein_coding	ATP6V1H
ENSG00000047315	ENSG00000047315	protein_coding	POLR2B
ENSG00000047346	ENSG00000047346	protein_coding	FAM214A
ENSG00000047365	ENSG00000047365	protein_coding	ARAP2
ENSG00000047410	ENSG00000047410	protein_coding	TPR
ENSG00000047578	ENSG00000047578	protein_coding	KATNIP
ENSG00000047579	ENSG00000047579	protein_coding	DTNBP1
ENSG00000047621	ENSG00000047621	protein_coding	C12orf4
ENSG00000047634	ENSG00000047634	protein_coding	SCML1
ENSG00000047644	ENSG00000047644	protein_coding	WWC3
ENSG00000047849	ENSG00000047849	protein_coding	MAP4
ENSG00000047932	ENSG00000047932	protein_coding	GOPC
ENSG00000048028	ENSG00000048028	protein_coding	USP28
ENSG00000048140	ENSG00000048140	protein_coding	TSPAN17
ENSG00000048162	ENSG00000048162	protein_coding	NOP16
ENSG00000048342	ENSG00000048342	protein_coding	CC2D2A
ENSG00000048392	ENSG00000048392	protein_coding	RRM2B
ENSG00000048405	ENSG00000048405	protein_coding	ZNF800
ENSG00000048471	ENSG00000048471	protein_coding	SNX29
ENSG00000048544	ENSG00000048544	protein_coding	MRPS10
ENSG00000048649	ENSG00000048649	protein_coding	RSF1
ENSG00000048707	ENSG00000048707	protein_coding	VPS13D
ENSG00000048828	ENSG00000048828	protein_coding	FAM120A
ENSG00000048991	ENSG00000048991	protein_coding	R3HDM1
ENSG00000049130	ENSG00000049130	protein_coding	KITLG
ENSG00000049167	ENSG00000049167	protein_coding	ERCC8
ENSG00000049239	ENSG00000049239	protein_coding	H6PD
ENSG00000049245	ENSG00000049245	protein_coding	VAMP3
ENSG00000049246	ENSG00000049246	protein_coding	PER3
ENSG00000049449	ENSG00000049449	protein_coding	RCN1
ENSG00000049541	ENSG00000049541	protein_coding	RFC2
ENSG00000049618	ENSG00000049618	protein_coding	ARID1B
ENSG00000049656	ENSG00000049656	protein_coding	CLPTM1L
ENSG00000049759	ENSG00000049759	protein_coding	NEDD4L
ENSG00000049769	ENSG00000049769	protein_coding	PPP1R3F
ENSG00000049860	ENSG00000049860	protein_coding	HEXB
ENSG00000049883	ENSG00000049883	protein_coding	PTCD2
ENSG00000050130	ENSG00000050130	protein_coding	JKAMP
ENSG00000050327	ENSG00000050327	protein_coding	ARHGEF5
ENSG00000050344	ENSG00000050344	protein_coding	NFE2L3
ENSG00000050393	ENSG00000050393	protein_coding	MCUR1
ENSG00000050405	ENSG00000050405	protein_coding	LIMA1
ENSG00000050426	ENSG00000050426	protein_coding	LETMD1
ENSG00000050438	ENSG00000050438	protein_coding	SLC4A8
ENSG00000050748	ENSG00000050748	protein_coding	MAPK9
ENSG00000050820	ENSG00000050820	protein_coding	BCAR1
ENSG00000051009	ENSG00000051009	protein_coding	FHIP1B
ENSG00000051108	ENSG00000051108	protein_coding	HERPUD1
ENSG00000051128	ENSG00000051128	protein_coding	HOMER3
ENSG00000051180	ENSG00000051180	protein_coding	RAD51
ENSG00000051341	ENSG00000051341	protein_coding	POLQ
ENSG00000051382	ENSG00000051382	protein_coding	PIK3CB
ENSG00000051596	ENSG00000051596	protein_coding	THOC3
ENSG00000051620	ENSG00000051620	protein_coding	HEBP2
ENSG00000051825	ENSG00000051825	protein_coding	MPHOSPH9
ENSG00000052126	ENSG00000052126	protein_coding	PLEKHA5
ENSG00000052723	ENSG00000052723	protein_coding	SIKE1
ENSG00000052749	ENSG00000052749	protein_coding	RRP12
ENSG00000052795	ENSG00000052795	protein_coding	FNIP2
ENSG00000052802	ENSG00000052802	protein_coding	MSMO1
ENSG00000052841	ENSG00000052841	protein_coding	TTC17
ENSG00000053254	ENSG00000053254	protein_coding	FOXN3
ENSG00000053371	ENSG00000053371	protein_coding	AKR7A2
ENSG00000053372	ENSG00000053372	protein_coding	MRTO4
ENSG00000053501	ENSG00000053501	protein_coding	USE1
ENSG00000053770	ENSG00000053770	protein_coding	AP5M1
